Unnamed: 0,chembl_id,value,smiles,Fixed_SMILES,Processing_Status,Filter_Status
520,CHEMBL2207666,98.0,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2ccccc12,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2ccccc12,Success,Pass
521,CHEMBL222645,94.6,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,Success,Pass
522,CHEMBL223228,99.9,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,Success,Pass
524,CHEMBL23,56.6,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,Success,Pass
525,CHEMBL2315528,99.9,N#CCc1ccccc1C#Cc1ccc(CCC(=O)O)cc1,N#CCc1ccccc1C#Cc1ccc(CCC(=O)O)cc1,Success,Pass
526,CHEMBL2315663,98.9,CNC(=O)c1ccc(F)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,CNC(=O)c1ccc(F)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,Success,Pass
527,CHEMBL2315856,99.0,O=C(N[C@H]1CCC[C@@H]1COc1ccccc1)C1CCN(c2nc3cc(Cl)ccc3o2)CC1,O=C(N[C@H]1CCC[C@@H]1COc1ccccc1)C1CCN(c2nc3cc(Cl)ccc3o2)CC1,Success,Pass
528,CHEMBL2315877,99.5,O=C(NC1CCCC1)C1CCN(c2nc3cc(Cl)ccc3o2)CC1,O=C(NC1CCCC1)C1CCN(c2nc3cc(Cl)ccc3o2)CC1,Success,Pass
529,CHEMBL2321924,100.0,CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(O)cccc32)c1,CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(O)cccc32)c1,Success,Pass
530,CHEMBL2322331,99.9,Cc1nn2c(O)cc(N3CCOCC3)nc2c1Cc1cccc(C(F)(F)F)c1C,Cc1nn2c(O)cc(N3CCOCC3)nc2c1Cc1cccc(C(F)(F)F)c1C,Success,Pass
